id,sentence_raw,sentence_clean,e1,e2,relation_full,relation_type,relation_direction,comment
2114,The <e1>man</e1> has journeyed into deeper level <e2>studies</e2> with sound masters.,The man has journeyed into deeper level studies with sound masters.,man,studies,Other,Other,none,violates b.1
2115,The <e1>painting</e1> was in a <e2>crate</e2> from which it had not been unpacked since its return from an exhibition in Oklahoma City a year ago.,The painting was in a crate from which it had not been unpacked since its return from an exhibition in Oklahoma City a year ago.,painting,crate,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
2116,We think that's a case where the <e1>builder</e1> has targeted the market with the right <e2>product</e2> and has priced it well.,We think that's a case where the builder has targeted the market with the right product and has priced it well.,builder,product,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",
2117,"In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the <e1>smoke</e1> caused by the <e2>burning</e2> of jungle and forest for coca bush cultivation.","In addition, soil and river systems have been contaminated by the harsh chemicals used in cocaine production and the air has been polluted by the smoke caused by the burning of jungle and forest for coca bush cultivation.",smoke,burning,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2118,The earliest <e1>writing</e1> is from 5000 <e2>years</e2> ago and helps us understand some of the changes.,The earliest writing is from 5000 years ago and helps us understand some of the changes.,writing,years,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
2119,He bought a <e1>gold</e1> <e2>bracelet</e2> for $200.,He bought a gold bracelet for $200.,gold,bracelet,Other,Other,none,
2120,The <e1>note</e1> was tucked inside a quart size plastic <e2>ziplock bag</e2>.,The note was tucked inside a quart size plastic ziplock bag.,note,ziplock bag,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
2121,Most people buy pre-made <e1>candle</e1> <e2>wicks</e2> when making homemade candles.,Most people buy pre-made candle wicks when making homemade candles.,candle,wicks,Other,Other,none,The wicks haven't been made into candles yet.
2122,Cylindrical <e1>defects</e1> in the trochanter area of 18 rabbit femora were filled with BG <e2>granules</e2>.,Cylindrical defects in the trochanter area of 18 rabbit femora were filled with BG granules.,defects,granules,"Content-Container(e2,e1)",Content-Container,"e2,e1",the defects contain granules
2123,"This panel once decorated the cover of a gospel <e1>book</e1> (now in the Hessisches Landesmuseum, Darmstadt) written and illuminated by a <e2>scribe</e2> named Liuthard.","This panel once decorated the cover of a gospel book (now in the Hessisches Landesmuseum, Darmstadt) written and illuminated by a scribe named Liuthard.",book,scribe,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
2124,The <e1>removal</e1> duplicate songs is done with the user-friendly start-up <e2>wizard</e2>.,The removal duplicate songs is done with the user-friendly start-up wizard.,removal,wizard,Other,Other,none,Purpose-Tool
2125,"The <e1>recession</e1> caused by the <e2>stock bubble</e2> was relatively mild, but so was the recovery.","The recession caused by the stock bubble was relatively mild, but so was the recovery.",recession,stock bubble,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2126,The <e1>oil</e1> was contained in a massive <e2>tank</e2> in the basement storage room.,The oil was contained in a massive tank in the basement storage room.,oil,tank,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
2127,"In philosophy, the <e1>brain</e1> in a <e2>vat</e2> is an element used in a variety of thought experiments intended to draw out certain features of our ideas of knowledge.","In philosophy, the brain in a vat is an element used in a variety of thought experiments intended to draw out certain features of our ideas of knowledge.",brain,vat,"Content-Container(e1,e2)",Content-Container,"e1,e2",modality is outside
2128,My <e1>mother</e1> bakes the puddings in a lidded <e2>dish</e2> which results in no skin and little caramelisation.,My mother bakes the puddings in a lidded dish which results in no skin and little caramelisation.,mother,dish,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
2129,<e1>Citizenship</e1> was finally awarded to the <e2>immigrant</e2>.,Citizenship was finally awarded to the immigrant.,Citizenship,immigrant,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2130,Show 1 in the series is a <e1>documentary</e1> detailing the first <e2>stages</e2> of the celebrity students' conductor training as they enter into a week long 'Baton Camp'.,Show 1 in the series is a documentary detailing the first stages of the celebrity students' conductor training as they enter into a week long 'Baton Camp'.,documentary,stages,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
2131,"I thought sometimes I saw the flash of distant spires, the sunny gleam of upland pastures, the soft <e1>undulation</e1> of purple <e2>hills</e2>.","I thought sometimes I saw the flash of distant spires, the sunny gleam of upland pastures, the soft undulation of purple hills.",undulation,hills,Other,Other,none,"A kind of movement, not set membership."
2132,Three poor seal <e1>pups</e1> rescued from the Yorkshire coast were released back into the <e2>wild</e2> at Seal Sands on Teesside.,Three poor seal pups rescued from the Yorkshire coast were released back into the wild at Seal Sands on Teesside.,pups,wild,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2133,"Science and faith collide when a <e1>bottle</e1> full of flowing green <e2>goo</e2> is determined to NOT be dormitory food, but something altogether more sinister.","Science and faith collide when a bottle full of flowing green goo is determined to NOT be dormitory food, but something altogether more sinister.",bottle,goo,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
2134,"In the Senate, the <e1>sizzle</e1> comes from an issue ad <e2>bill</e2> from Dem Sen. Jon Erpenbach.","In the Senate, the sizzle comes from an issue ad bill from Dem Sen. Jon Erpenbach.",sizzle,bill,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2135,"As you see, it very easily pulls away and the <e1>strings</e1> of the spaghetti <e2>squash</e2> come out relatively easy here.","As you see, it very easily pulls away and the strings of the spaghetti squash come out relatively easy here.",strings,squash,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2136,"Air circulates through the <e1>arm</e1> of the <e2>machine</e2>, creating a gentle vacuum that can attract a page and guide it from the right side of the book to the left.","Air circulates through the arm of the machine, creating a gentle vacuum that can attract a page and guide it from the right side of the book to the left.",arm,machine,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2137,The <e1>evidence</e1> comes from Nasa's Mars reconnaissance <e2>orbiter</e2> which spied a series of depressions linked by what look like drainage channels.,The evidence comes from Nasa's Mars reconnaissance orbiter which spied a series of depressions linked by what look like drainage channels.,evidence,orbiter,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
2138,To that end the <e1>rig</e1> of the <e2>ship</e2> and the style of operation have the simplicity.,To that end the rig of the ship and the style of operation have the simplicity.,rig,ship,"Component-Whole(e1,e2)",Component-Whole,"e1,e2","weird sentence, nobody would say ""the simplicity""."
2139,"Cali, Colombia, for their series of articles on the <e1>emergency</e1> caused by a <e2>landslide</e2> on the highway leading to the coast.","Cali, Colombia, for their series of articles on the emergency caused by a landslide on the highway leading to the coast.",emergency,landslide,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2140,The financial <e1>losses</e1> caused by the <e2>earthquake</e2> were estimated at $7 million.,The financial losses caused by the earthquake were estimated at $7 million.,losses,earthquake,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2141,The <e1>tiger</e1> is moving into a new <e2>territory</e2>.,The tiger is moving into a new territory.,tiger,territory,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2142,The government research <e1>grant</e1> was given to a top <e2>school</e2> to boost its research activities.,The government research grant was given to a top school to boost its research activities.,grant,school,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2143,The <e1>position</e1> of the OECD has been criticized in <e2>literature</e2>.,The position of the OECD has been criticized in literature.,position,literature,"Message-Topic(e2,e1)",Message-Topic,"e2,e1",
2144,The December 26th <e1>tsunami</e1> <e2>disaster</e2> is an example of a tsunami which was triggered by an earthquake.,The December 26th tsunami disaster is an example of a tsunami which was triggered by an earthquake.,tsunami,disaster,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
2145,"The <e1>violence</e1> resulted in the <e2>death</e2> of police ""capo"" Filippo Raciti, which caused widespread soul-searching and a week-long suspension of Italian football.","The violence resulted in the death of police ""capo"" Filippo Raciti, which caused widespread soul-searching and a week-long suspension of Italian football.",violence,death,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
2146,There's a <e1>crowd</e1> of <e2>reasons</e2> we get the flu in winter.,There's a crowd of reasons we get the flu in winter.,crowd,reasons,"Member-Collection(e2,e1)",Member-Collection,"e2,e1","Also, abstract objects are allowed as members of this relation."
2147,A <e1>train</e1> ran into a <e2>cattle</e2> on the railroad.,A train ran into a cattle on the railroad.,train,cattle,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2148,"The <e1>engineer</e1>'s <e2>scale</e2> came into existence when machining parts required a greater precision than the usual, binary fractionalization of the inch.","The engineer's scale came into existence when machining parts required a greater precision than the usual, binary fractionalization of the inch.",engineer,scale,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
2149,"<e1>Discomfort</e1> from <e2>braces</e2> is similar to that of working out at the gym - the first few days you know you' done something different, but then the body adapts and the discomfort disappears.","Discomfort from braces is similar to that of working out at the gym - the first few days you know you' done something different, but then the body adapts and the discomfort disappears.",Discomfort,braces,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",modality is outside
2150,"Because the <e1>fire</e1> was caused by <e2>fireworks</e2>, costs associated with suppressing the fire were also applied.","Because the fire was caused by fireworks, costs associated with suppressing the fire were also applied.",fire,fireworks,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2151,<e1>Workers</e1> build the <e2>comb</e2> from wax extruded from glands under their abdomen.,Workers build the comb from wax extruded from glands under their abdomen.,Workers,comb,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied
2152,These and many other <e1>stories</e1> are used by the new <e2>scientists</e2> in order to support their theory.,These and many other stories are used by the new scientists in order to support their theory.,stories,scientists,"Instrument-Agency(e1,e2)",Instrument-Agency,"e1,e2",
2153,"After the source material and substrates were arranged, the small quartz <e1>tube</e1> was placed inside the 50-cm-long horizontal tube <e2>furnace</e2>.","After the source material and substrates were arranged, the small quartz tube was placed inside the 50-cm-long horizontal tube furnace.",tube,furnace,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2154,"But largely they were of the rose kind, and, in the bloomy <e1>ring</e1> of wedded <e2>dames</e2>, sighed to in canzons, ' fair friends"" of knight and poet, but saw themselves a little further on.","But largely they were of the rose kind, and, in the bloomy ring of wedded dames, sighed to in canzons, ' fair friends"" of knight and poet, but saw themselves a little further on.",ring,dames,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
2155,The Titan heats the dermis to cause collagen contraction while ensuring <e1>preservation</e1> the epidermis through continuous <e2>cooling</e2>.,The Titan heats the dermis to cause collagen contraction while ensuring preservation the epidermis through continuous cooling.,preservation,cooling,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2156,"Ancient Roman <e1>sewer</e1> <e2>grate</e2> made out of lime sandstone, 1st century AD, excavated at Vindobona.","Ancient Roman sewer grate made out of lime sandstone, 1st century AD, excavated at Vindobona.",sewer,grate,"Component-Whole(e2,e1)",Component-Whole,"e2,e1",
2157,"There have been various stories about the <e1>origin</e1> of the Chinese <e2>script</e2>, with nearly all ancient writers attributing it to a man named Cangjie.","There have been various stories about the origin of the Chinese script, with nearly all ancient writers attributing it to a man named Cangjie.",origin,script,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
2158,The spiral <e1>light</e1> was caused by the <e2>missile</e2>.,The spiral light was caused by the missile.,light,missile,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2159,One of these papers which was published in the journal Climate Research turned out to be so badly flawed that the <e1>scandal</e1> resulted in the <e2>resignation</e2> of the editor-in-chief.,One of these papers which was published in the journal Climate Research turned out to be so badly flawed that the scandal resulted in the resignation of the editor-in-chief.,scandal,resignation,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
2160,The manager has added background text <e1>watermarks</e1> into the existing PDF <e2>file</e2>.,The manager has added background text watermarks into the existing PDF file.,watermarks,file,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2161,In the course of the <e1>discussion</e1> it was pointed out that middle-class and lower-class <e2>people</e2> in the United States also seem to react differently to work.,In the course of the discussion it was pointed out that middle-class and lower-class people in the United States also seem to react differently to work.,discussion,people,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",The modality seems to be outside e1-e2.
2162,It is a <e1>scrawl</e1> by an <e2>artist</e2> to portray that which cannot be portrayed even on a canvas as big and large as the heavens.,It is a scrawl by an artist to portray that which cannot be portrayed even on a canvas as big and large as the heavens.,scrawl,artist,"Product-Producer(e1,e2)",Product-Producer,"e1,e2",(a) is satisfied
2163,Many of the <e1>passengers</e1> took the <e2>shuttle</e2> to town and turned around in ten minutes retreating back to the comfort of the air-conditioned ship.,Many of the passengers took the shuttle to town and turned around in ten minutes retreating back to the comfort of the air-conditioned ship.,passengers,shuttle,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
2164,Another <e1>deputy</e1> from coalition <e2>party</e2> resigns in Turkey.,Another deputy from coalition party resigns in Turkey.,deputy,party,"Member-Collection(e1,e2)",Member-Collection,"e1,e2",
2165,"<e1>Bed sores</e1> (also known as: pressure sores, decubitus ulcers or pressure ulcers) are caused by <e2>pressure</e2>, which cuts off blood flow to parts of the body.","Bed sores (also known as: pressure sores, decubitus ulcers or pressure ulcers) are caused by pressure, which cuts off blood flow to parts of the body.",Bed sores,pressure,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2166,"The ""underdog"" prize is awarded to the <e1>driver</e1> who wins the race with a <e2>car</e2> in the lowest PI of the field.","The ""underdog"" prize is awarded to the driver who wins the race with a car in the lowest PI of the field.",driver,car,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
2167,The aim of this <e1>section</e1> is a brief review of the <e2>clinical aspects</e2> of ITP in pregnancy.,The aim of this section is a brief review of the clinical aspects of ITP in pregnancy.,section,clinical aspects,"Message-Topic(e1,e2)",Message-Topic,"e1,e2","""Review"" makes this a topic."
2168,A <e1>farmer</e1> erected the <e2>disguise</e2> in 2000 out of hundreds of 8ftx4ft bales of straw and covered the top with blue tarpaulin.,A farmer erected the disguise in 2000 out of hundreds of 8ftx4ft bales of straw and covered the top with blue tarpaulin.,farmer,disguise,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",
2169,"When I was growing up in Washington, my grandmother fed a <e1>nursery</e1> of <e2>raccoons</e2> every night.","When I was growing up in Washington, my grandmother fed a nursery of raccoons every night.",nursery,raccoons,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
2170,The <e1>fat</e1> migrated into enrobing <e2>chocolate</e2>.,The fat migrated into enrobing chocolate.,fat,chocolate,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2171,The <e1>presentation</e1> generated <e2>debate</e2> and there was general discussion on how journalists can better equip themselves to handle the challenges.,The presentation generated debate and there was general discussion on how journalists can better equip themselves to handle the challenges.,presentation,debate,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",the presentation is causing a debate
2172,Drawing my bow across the string sometimes results in the <e1>stick</e1> of the <e2>bow</e2> bouncing/vibrating up and down.,Drawing my bow across the string sometimes results in the stick of the bow bouncing/vibrating up and down.,stick,bow,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2173,"Rich in high-quality protein and other nutrients, <e1>soy</e1> <e2>flour</e2> also adds a pleasant texture and flavor to a variety of products.","Rich in high-quality protein and other nutrients, soy flour also adds a pleasant texture and flavor to a variety of products.",soy,flour,"Entity-Origin(e2,e1)",Entity-Origin,"e2,e1",
2174,"A custom <e1>clothier</e1> makes custom <e2>garments</e2> one at a time, to order.","A custom clothier makes custom garments one at a time, to order.",clothier,garments,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",the clothier is involved in the production of garments
2175,Uncooked steak is placed on the top <e1>shelf</e1> of the <e2>refrigerator</e2> and uncovered roast chicken on the bottom shelf.,Uncooked steak is placed on the top shelf of the refrigerator and uncovered roast chicken on the bottom shelf.,shelf,refrigerator,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2176,"Hedgehogs annoy only their political opposition, while foxes annoy across the political spectrum, in part because the smartest foxes cherry-pick idea fragments from the whole <e1>array</e1> of <e2>hedgehogs</e2>.","Hedgehogs annoy only their political opposition, while foxes annoy across the political spectrum, in part because the smartest foxes cherry-pick idea fragments from the whole array of hedgehogs.",array,hedgehogs,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
2177,"The plot here involves a <e1>cache</e1> of stolen <e2>jewels</e2> and gold bars, which were confiscated at the end of World War II.","The plot here involves a cache of stolen jewels and gold bars, which were confiscated at the end of World War II.",cache,jewels,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
2178,<e1>Dentists</e1> use <e2>sedation</e2> in order to provide an anxiety-free dental experience.,Dentists use sedation in order to provide an anxiety-free dental experience.,Dentists,sedation,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
2179,"On my backpacking trip, the <e1>insoles</e1> caused a hot <e2>spot</e2> on the left side of my right heel and a blister on the right side of my left heel.","On my backpacking trip, the insoles caused a hot spot on the left side of my right heel and a blister on the right side of my left heel.",insoles,spot,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",
2180,The <e1>chip</e1> was implanted into the <e2>pet</e2>.,The chip was implanted into the pet.,chip,pet,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2181,The <e1>weapon</e1> was hidden in what appears to be a <e2>mobile phone</e2>.,The weapon was hidden in what appears to be a mobile phone.,weapon,mobile phone,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
2182,"The Code applies to all <e1>sponsorship</e1> related to <e2>corporate image</e2>, brands, products, services activities or events of any kind.","The Code applies to all sponsorship related to corporate image, brands, products, services activities or events of any kind.",sponsorship,corporate image,Other,Other,none,The sponsorship is not a message.
2183,"The following <e1>excerpt</e1> was a part of the <e2>article</e2>: ""Some say it feels like a scene from a Norman Rockwell painting as families gather in front of the picturesque performing arts center.""","The following excerpt was a part of the article: ""Some say it feels like a scene from a Norman Rockwell painting as families gather in front of the picturesque performing arts center.""",excerpt,article,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
2184,<e1>Cities</e1> produce surprisingly low carbon <e2>emissions</e2> per capita.,Cities produce surprisingly low carbon emissions per capita.,Cities,emissions,"Cause-Effect(e1,e2)",Cause-Effect,"e1,e2",(a) is satisfied
2185,A tiny Serbian <e1>village</e1> has put up a <e2>statue</e2> in honour of its adopted patron - Sylvester Stallone's Rocky.,A tiny Serbian village has put up a statue in honour of its adopted patron - Sylvester Stallone's Rocky.,village,statue,Other,Other,none,not clear whether the statue was made by them
2186,I found a <e1>bottle</e1> with 5 <e2>fentermine</e2> in it yesterday.,I found a bottle with 5 fentermine in it yesterday.,bottle,fentermine,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
2187,"Cayenne <e1>pepper</e1> is a miracle cure for <e2>ulcers</e2> and so many other conditions, plus aids assimilation of nutrients and vitamins.","Cayenne pepper is a miracle cure for ulcers and so many other conditions, plus aids assimilation of nutrients and vitamins.",pepper,ulcers,Other,Other,none,
2188,The <e1>stethoscope</e1> lets the <e2>doctor</e2> hear your heartbeat and the way your lungs sound.,The stethoscope lets the doctor hear your heartbeat and the way your lungs sound.,stethoscope,doctor,"Instrument-Agency(e1,e2)",Instrument-Agency,"e1,e2",
2189,The cold <e1>temperature waves</e1> are flowing into the <e2>desert</e2>.,The cold temperature waves are flowing into the desert.,temperature waves,desert,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2190,"When the <e1>soul</e1> left the <e2>body</e2>, it was at the first moment quite unclothed, as at birth.","When the soul left the body, it was at the first moment quite unclothed, as at birth.",soul,body,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
2191,"A small supply of <e1>butter</e1> was in a <e2>jar</e2> that stood on the hearth, and the eggs were kept in a basket that hung on a peg nearby.","A small supply of butter was in a jar that stood on the hearth, and the eggs were kept in a basket that hung on a peg nearby.",butter,jar,"Content-Container(e1,e2)",Content-Container,"e1,e2",prototypical example
2192,"The authentic-looking, powerful <e1>film</e1> is concerned with the <e2>problems</e2> of trade unionism, corruption and racketeering.","The authentic-looking, powerful film is concerned with the problems of trade unionism, corruption and racketeering.",film,problems,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
2193,He slowly inserted the <e1>disk</e1> into the removable <e2>disk drive</e2>.,He slowly inserted the disk into the removable disk drive.,disk,disk drive,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2194,The <e1>handgrip</e1> of the <e2>gun</e2> is standard plastic but with two rubber insets which make the unit feel very comfortable in your hand.,The handgrip of the gun is standard plastic but with two rubber insets which make the unit feel very comfortable in your hand.,handgrip,gun,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2195,The <e1>tourist</e1> was taking a trip into the amazing <e2>jungle</e2> of Amazon.,The tourist was taking a trip into the amazing jungle of Amazon.,tourist,jungle,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2196,The newly elected president is making a <e1>speech</e1> addressing the latest <e2>threat</e2> to this countries economy and people.,The newly elected president is making a speech addressing the latest threat to this countries economy and people.,speech,threat,"Message-Topic(e1,e2)",Message-Topic,"e1,e2",
2197,The <e1>software</e1> lets the <e2>teleworker</e2> closely associate his IP soft phone with other public switched telephone network (PSTN) connections.,The software lets the teleworker closely associate his IP soft phone with other public switched telephone network (PSTN) connections.,software,teleworker,"Instrument-Agency(e1,e2)",Instrument-Agency,"e1,e2",
2198,"Excluding the current <e1>outbreaks</e1> caused by the H5N1 <e2>virus</e2>, only 24 outbreaks of highly pathogenic avian influenza have been recorded worldwide since 1959.","Excluding the current outbreaks caused by the H5N1 virus, only 24 outbreaks of highly pathogenic avian influenza have been recorded worldwide since 1959.",outbreaks,virus,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2199,The <e1>group</e1> tried assessment of vigilance through a brief pencil and paper letter cancellation <e2>task</e2>.,The group tried assessment of vigilance through a brief pencil and paper letter cancellation task.,group,task,"Instrument-Agency(e2,e1)",Instrument-Agency,"e2,e1",
2200,Tom Reynold's brought his first barrel of flour from DeTour on a <e1>jumper</e1> drawn by an <e2>ox</e2>.,Tom Reynold's brought his first barrel of flour from DeTour on a jumper drawn by an ox.,jumper,ox,Other,Other,none,the ox is not a producer
2201,<e1>Alternators</e1> generate <e2>electricity</e2> by the same principle as DC generators.,Alternators generate electricity by the same principle as DC generators.,Alternators,electricity,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",
2202,The site has a <e1>lounge</e1> of dedicated <e2>lizards</e2> who vote out anyone with whom they do not agree.,The site has a lounge of dedicated lizards who vote out anyone with whom they do not agree.,lounge,lizards,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
2203,"A Chinese food container set on top of something sticky was lifted up and tore, leaving a shred of cardboard glued to the <e1>shelf</e1> of the <e2>refrigerator</e2>.","A Chinese food container set on top of something sticky was lifted up and tore, leaving a shred of cardboard glued to the shelf of the refrigerator.",shelf,refrigerator,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2204,"French-style pate is in fact easier to make than my <e1>grandmother</e1>'s chopped <e2>liver</e2>, which called for rendering chicken fat.","French-style pate is in fact easier to make than my grandmother's chopped liver, which called for rendering chicken fat.",grandmother,liver,Other,Other,none,grandmother is not a producer
2205,Silverwoods set up small distribution points through Southern Ontario where the packaged <e1>milk</e1> was delivered from the city <e2>dairy</e2> via large tractor trailers then it was reloaded on smaller route trucks that distributed it to the stores in a certain area surrounding the distribution depot.,Silverwoods set up small distribution points through Southern Ontario where the packaged milk was delivered from the city dairy via large tractor trailers then it was reloaded on smaller route trucks that distributed it to the stores in a certain area surrounding the distribution depot.,milk,dairy,"Entity-Origin(e1,e2)",Entity-Origin,"e1,e2",
2206,Many of the 550 <e1>deaths</e1> are directly and intentionally caused by the <e2>physician</e2> but not reported as euthanasia because they lacked consent.,Many of the 550 deaths are directly and intentionally caused by the physician but not reported as euthanasia because they lacked consent.,deaths,physician,"Cause-Effect(e2,e1)",Cause-Effect,"e2,e1",negation is outside
2207,The purpose of this is to slow or reduce decay in the <e1>stem</e1> of the <e2>tree</e2> or limb.,The purpose of this is to slow or reduce decay in the stem of the tree or limb.,stem,tree,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2208,He clicked the left <e1>key</e1> of the <e2>mouse</e2> in order to copy the chosen translation to the clipboard.,He clicked the left key of the mouse in order to copy the chosen translation to the clipboard.,key,mouse,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2209,"The mighty chaos warships let down a <e1>hailstorm</e1> of <e2>gunships</e2> and drop pods, flooding the planet with vile and corrupted plague marines.","The mighty chaos warships let down a hailstorm of gunships and drop pods, flooding the planet with vile and corrupted plague marines.",hailstorm,gunships,"Member-Collection(e2,e1)",Member-Collection,"e2,e1",
2210,He opened up the <e1>nostrils</e1> in the <e2>nose</e2> a bit to fit the left and right winglets into it.,He opened up the nostrils in the nose a bit to fit the left and right winglets into it.,nostrils,nose,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2211,In Japan I was able to bring a <e1>bottle</e1> with <e2>water</e2> in it through security on my way to Singapore.,In Japan I was able to bring a bottle with water in it through security on my way to Singapore.,bottle,water,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
2212,"At that time, it issued a <e1>card</e1> <e2>deck</e2> in the hopes of paving the way to regime change and, eventually, large-scale war crimes proceedings.","At that time, it issued a card deck in the hopes of paving the way to regime change and, eventually, large-scale war crimes proceedings.",card,deck,"Member-Collection(e1,e2)",Member-Collection,"e1,e2",
2213,"The paperback <e1>pamphlet</e1> was put inside a <e2>binder</e2>, as shown below.","The paperback pamphlet was put inside a binder, as shown below.",pamphlet,binder,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2214,Although the guards searched his car and opened a <e1>suitcase</e1> with <e2>tracts</e2> in it they did not notice the illegal materials.,Although the guards searched his car and opened a suitcase with tracts in it they did not notice the illegal materials.,suitcase,tracts,"Content-Container(e2,e1)",Content-Container,"e2,e1",prototypical example
2215,John Chaney is found home on the range herding <e1>cattle</e1> on his Clarksburg <e2>farm</e2>.,John Chaney is found home on the range herding cattle on his Clarksburg farm.,cattle,farm,Other,Other,none,
2216,The inhabitants send messages to each other by placing the <e1>message</e1> in a <e2>capsule</e2> and placing the capsule in a message tube.,The inhabitants send messages to each other by placing the message in a capsule and placing the capsule in a message tube.,message,capsule,"Entity-Destination(e1,e2)",Entity-Destination,"e1,e2",
2217,New <e1>plans</e1> are outlined for another wind <e2>farm</e2> in north Devon of no more than four turbines.,New plans are outlined for another wind farm in north Devon of no more than four turbines.,plans,farm,Other,Other,none,"just outlined, so not announced yet - violation of (d)"
2218,Two <e1>universities</e1> entered in <e2>collaboration</e2> focusing on development of plant biotechnology.,Two universities entered in collaboration focusing on development of plant biotechnology.,universities,collaboration,Other,Other,none,violates c.3
2219,"Using her tail, the <e1>female</e1> digs a trough-shaped <e2>nest</e2>, called a redd (Scandinavian word for ""nest""), in the gravel of the stream bed.","Using her tail, the female digs a trough-shaped nest, called a redd (Scandinavian word for ""nest""), in the gravel of the stream bed.",female,nest,"Product-Producer(e2,e1)",Product-Producer,"e2,e1",(a) is satisfied
2220,The handle of the bow is made of wood and the <e1>strings</e1> of the <e2>bow</e2> are actually horsehair from horses' tails.,The handle of the bow is made of wood and the strings of the bow are actually horsehair from horses' tails.,strings,bow,"Component-Whole(e1,e2)",Component-Whole,"e1,e2",
2221,This <e1>recogniser</e1> works with a <e2>vocabulary</e2> of up to several hundred words.,This recogniser works with a vocabulary of up to several hundred words.,recogniser,vocabulary,"Component-Whole(e2,e1)",Component-Whole,"e2,e1","The vocabulary is an integral and functional part of the system, not actually exists on its own."
